num,summary,grade,review
1,"색상: (10)WHITE / 사이즈: XL(105)
사이즈약간 커요 (총 기장)핏적당해요착용감편해요",5,겉옷을 잘 입어야 이쁘게 레이어드될듯요 ㅎㅎ 흰티가 적당히 보여야 꾸안꾸 느낌들텐데 생각보다 더 길다고 하네요. 사이즈 작게하면 어깨가 안맞을것 같고...
2,"색상: (10)WHITE / 사이즈: S(090)
사이즈잘 맞아요핏적당해요착용감편해요",5,"재구매길이 긴 반팔티셔츠가 마침 필요했는데
스파오에서 할인하더라구요~ 타이밍좋게 구매했어요..
레이어드티셔츠라 길이도 길고
면 재질도 좋네요ㅎㅎ
남편꺼구매하고 제꺼두 구매했는데 만족스럽네요~~ 
한동안 잘 입을것같아요ㅎ
더보기"
3,"색상: (10)WHITE / 사이즈: S(090)
체형여성167cm54kg상의 S보통 어깨보통 팔길이사이즈잘 맞아요핏슬림해요착용감편해요",4,옷 폭에 비해 기장이 많이 길어요. 착장 사진에 슬림해 보여서 큰사이즈로 할까 하다가 기장만 너무 길어질까봐 그냥 S했는데 역시 기장은 충분히 길어요. 폭이 조금 더 널널하면 핏이 예쁠텐데 아쉽네요. 저렴해서 많이 얇을 줄 알았는데 그렇지도 않고요. 가격 생각하면 좋습니다. 꺼내자마자 먼지는 좀 많아서 시착할 때 먼지 뒤집어썼는데 세탁 후에는 먼지가 안 나길 바랍니다.
4,"색상: (10)WHITE / 사이즈: XL(105)
사이즈잘 맞아요핏적당해요착용감편해요",5,"긴 반팔티가 마침 필요했는데
스파오에서 할인적용받아서 구매했어요!
레이어드티셔츠라 길이도 길고
면 재질도 좋네요ㅎㅎ
남편주려고 구매하고 제꺼두 구매했는데
만족스럽네요~~ 
한동안 잘 입을것같아요ㅎ
더보기"
5,"색상: (10)WHITE / 사이즈: M(095)
핏오버핏이에요사이즈많이 커요 (총 기장, 가슴, 어깨)착용감아주 편해요",5,남편꺼랑 제꺼 주문했는데 사이즈 엄청 크네요~ 후드티 안에 받쳐입으려고 샀는데 그냥 하나만 입으면 오버핏으로 면도 좋고 예뻐요~ 전 키 160인데 95사이즈 완전 커요 ㅎ 보통체격인 여자분들은 90해도 넉넉할듯해요
6,"색상: (10)WHITE / 사이즈: M(095)
체형여성158cm48kg상의 M보통 어깨팔이 짧은 편 사이즈잘 맞아요핏오버핏이에요착용감아주 편해요",5,딸이 주로 스파오 후드티에 흰티를 레이어드해서 입더라고요!! 그래서  딸을 위해 구매했답니다~^^ 딸이 너무 만족하구 후드나 맨투맨에 레이어드해서 입히니까 너무무 이뻐요♡♡ 그리고 너무 무겁지도 않아서 부담없이 일상복으로도 입는답니다~^^ 밑에 레깅스를 매치해서 입으면 엉덩이를 가려줘서 편하게 입을 수 있었어요~~담번에  재구매할려구요♡♡
7,"색상: (10)WHITE / 사이즈: XL(105)
체형여성169cm57kg핏적당해요사이즈많이 커요 (총 기장)착용감편해요",5,"얇아요 속옷 진한거 비추네요
핏은 좋은데 정말 기네요
저는 오버핏으로 입으려고 크게 주문했는데 덩덩이 밑까지 내려와서 잘랐어요"
8,"색상: (10)WHITE / 사이즈: XL(105)
사이즈잘 맞아요핏적당해요착용감편해요",5,"중딩이 아들 레이어드 티 필요한 찰나에  딱 맞게 방송해주는 센스
~~~ 넘넘 싸이즈 좋아요
힙하게 입고다니는걸 좋아하는데
105 사니 길이 딱 맞춤입니다
아들키가 180 이라  딱 이쁘네용"
9,"색상: (10)WHITE / 사이즈: XL(105)
사이즈약간 커요 (어깨)핏오버핏이에요착용감아주 편해요",4,남편꺼랑 제꺼 주문했는데 사이즈 엄청 크네요~ 후드티 안에 받쳐입으려고 샀는데 그냥 하나만 입으면 오버핏으로 면도 좋고 예뻐요~
10,"색상: (10)WHITE / 사이즈: S(090)
사이즈잘 맞아요핏적당해요착용감편해요",5,"흰 티셔츠는 늘 이너로 필요한데 저렴하게 잘 구입한거 같아요~~ 조금 긴데 스포티하게
입을 때 딱인거 같아요~~ 편해서 손이 갈거 같아 다른 색도 구입하고 싶네요!!!"
11,"색상: (10)WHITE / 사이즈: L(100)
체형남성173cm72kg상의 L보통 어깨사이즈잘 맞아요핏오버핏이에요착용감편해요",5,"속에 레이어드용으로 입으려고 구입하였습니다.
M은 작을거 같고, 레이어드용이라 L구입했는데 생각보다 더 길어서 약간 아쉽습니다. 그래도 품질이나 가격은 다 만족합니다."
12,"색상: (10)WHITE / 사이즈: L(100)
사이즈잘 맞아요핏적당해요착용감편해요",5,생각보다 길긴 한데 보통 약간 긴 후드티 가지고 있을텐데 같이 입으면 이뻐요!!! 담엔 m 사이즈 사고싶어요. 퀄리티즏 가격대비 굿입니당.
13,"색상: (10)WHITE / 사이즈: L(100)
체형남성180cm59kg상의 XL어깨 넓음팔이 긴 편사이즈잘 맞아요핏적당해요착용감편해요",5,"조금더 도톰했으면 하는 마음이 있지만
그래도 맘에들어요.
특가로 구입해서 좋아요"
14,"색상: (10)WHITE / 사이즈: XL(105)
체형남성175cm90kg상의 XL어깨 넓음사이즈잘 맞아요핏적당해요착용감아주 편해요",5,"이너로 딱이네요. 강력추천합니다.
코디 해본 사진 올렸는데 제 눈에는 너무 괜찮아 보이네요. 사이즈는 본인 사이즈대로 사면 될듯합니다."
15,"색상: (10)WHITE / 사이즈: L(100)
사이즈잘 맞아요핏적당해요착용감편해요",5,잘받았습니다. 리뷰보고 평소보다 한사이즈 다운했더니 이너용으로 적당한 핏 나와요. 마침 흰티 필요했는데 할인가에 잘 샀습니다.
16,"색상: (10)WHITE / 사이즈: S(090)
핏오버핏이에요사이즈많이 커요 (기타)착용감아주 편해요",5,"면이 아주 좋아요 두개나 들어있네요
s도 여자가 입기엔 오버핏 ㅎ
초등딸아이가 좋아해요
편하다고 너무 좋아해요"
17,"색상: (10)WHITE / 사이즈: XL(105)
체형남성190cm88kg상의 XL보통 어깨보통 팔길이사이즈약간 커요 (총 기장)핏적당해요착용감편해요",5,"좋은제품 좋은가격에 구매하였습니다
재질도 부드럽고 편하네요
기장이 조금길게나와 적당한(살짝 긴) 핏을 원한다면 평소입는것보다 한사이즈 다운하는게 좋습니다"
18,"색상: (10)WHITE / 사이즈: XL(105)
사이즈약간 커요 (총 기장, 가슴)핏적당해요착용감편해요",5,"받자마자 빨아서 멀쩡한 사진은 없네요. ㅡ
젝x믹x 사이즈 옷과 비교했을때 3xl 사이즈와 거의 동일합니다. 
도톰하고 면소재가 좋은거같아요. 
아직 입어보진 않았지만 예쁜 핏이 나왔으면 좋겠습니다"
19,"색상: (10)WHITE / 사이즈: XL(105)
체형남성175cm85kg사이즈잘 맞아요핏적당해요착용감편해요",5,"레이어드하기 좋은 기장
재질도 부드러워서 입기 편하네요"
20,"색상: (10)WHITE / 사이즈: XL(105)
사이즈잘 맞아요 (총 기장)핏적당해요착용감편해요",5,180/75 XL 적당하구요. 길이가 약간 긴듯했으나 입고다니면 조금 올라가서 딱 맞습니다. 두께도 적당하고 가격도 착해서 만족합니다
21,"색상: (10)WHITE / 사이즈: XL(105)
사이즈잘 맞아요핏적당해요착용감아주 편해요",5,"길이가 길어 상의 안에 입기 좋아요. 두께감 적당하고, 옷감이 뻣뻣하지 않고 부드러워 감촉도 좋구요."
22,"색상: (10)WHITE / 사이즈: M(095)
체형남성사이즈잘 맞아요핏적당해요착용감아주 편해요",5,정사이즈 갔더니 잘 맞아요. 레이어드 기장으로 좋고 원단이 아주좋아서 부들부들하네요.하루 입고잔 다음 쓰는 후기에요.
23,"색상: (10)WHITE / 사이즈: M(095)
사이즈약간 커요 (총 기장)핏오버핏이에요착용감편해요",5,"레이어드용이라고 되어있는데 정말 기장이 긴편이에요
전 긴거 좋아해서 좋음ㅎㅎㅎ
배송 빠르고 싸게 잘샀어요"
24,"색상: (10)WHITE / 사이즈: L(100)
체형여성164cm64kg상의 M어깨 넓음보통 팔길이사이즈약간 커요 (총 기장)핏오버핏이에요착용감편해요",5,딸아이가 헤그리드같아서 왠만한 사이즈는 안맞는데 이건 길이감은 좀 있지만 잘맞아요~면질도 좋고~이너로 잘입을거같아요 바느질도 짱짱하니 좋아요
25,"색상: (10)WHITE / 사이즈: XL(105)
체형남성177cm74kg상의 XL사이즈잘 맞아요핏적당해요착용감편해요",5,"재질도 좋고 2장이나 들어있어서 가성비도 좋습니다 길이도 길어서 레이어드 하기 좋고
옷도 탄탄하고 면이라 부드러워요 👍"
26,"색상: (10)WHITE / 사이즈: M(095)
체형여성158cm50kg상의 M사이즈약간 커요핏적당해요착용감편해요",5,"재질도 좋고 2장이나 들어있어서 가성비도 좋습니다 길이도 길어서 레이어드 하기 좋고
옷도 탄탄하고 면이라 부드러워요 👍"
27,"색상: (10)WHITE / 사이즈: L(100)
체형남성173cm66kg상의 L보통 어깨보통 팔길이사이즈잘 맞아요핏오버핏이에요착용감편해요",5,"후드 밑으로 딱 보이는 정도 길이여서 괜찮네요, 아마 얇은 재질이라 몇번 빨면 쭈글해질 거 같지만 가격대비 좋은듯"
