summary,grade,review
"색상: (15)GRAY / 사이즈: M(090)
사이즈약간 커요 (어깨, 소매길이)핏오버핏이에요두께두꺼워요",5,"3월까지는 입을수 있을것 같아요
생각보다는 두꺼워요 겨울용이에요
옷감은 생각했던대로여서 마음에 들어요
배송이 완전 빨라요
상자가 아니어서 조금 놀랐지만 내부에 비닐포장이 한번 더 되어 있었어요
잘 못입으면 아빠옷같아요 ㅎ
오버핏이니까요
팔이 짧은편이 아닌데 소매가 좀 길어요
평소 자켓은 66사이즈입어요
팔길이를 제외하면 사이즈도 마음에 들어요.

잘 입어볼게요 :)
더보기"
"색상: (15)GRAY / 사이즈: M(090)
사이즈잘 맞아요핏적당해요두께두꺼워요",5,"정말  정말 만족스러운 제품입니다 ㅠ
타사꺼 3번 반품하고 드디어 찾은  도톰한 자켓.
약간 오버핏이여서 넘나 이뻐요.
어깨도 적당하고(타사 반품사유가 오버핏이라 어깨가 너므 넓게 나와서 ㅠ 어깨깡패 ㅠ)
두께감도 좋고
회색에 약간 노란빛 섞여있어서 조금 고민했는데
휘뚜루마뚜루 매치 잘되고 좋아요.
가장 좋은점은 착한가격에  고퀄~~~ㅠ
더보기"
"색상: (85)BROWN / 사이즈: S(085)
체형161cm50kg상의 M사이즈잘 맞아요핏적당해요두께보통 두께예요",4,"평소 스파오 자켓은 m사이즈 입는데 요제품은 s샀어요 m은 적에게 품도 크고 소매도 길더라구요 3월 중순부터 입을 수 있는 두께입니다 
색상은 그레이는 좀 밝아보여서 브라운 골랐어요 디자인은 포멀 자켓 그자체입니다 단정하고 무난무난해요 정가보다 가격이 많이 다운돼서 저렴하게 샀어요 작년 늦가을부터 지켜봤는데 반값이상 할인됐네요ㅋㅋㅋ"
"색상: (15)GRAY / 사이즈: S(085)
체형155cm48kg상의 M사이즈약간 커요핏오버핏이에요두께보통 두께예요",5,"요즘 날씨에 딱 입기 좋은 두께예요.
안에 핑크라 사진은 별로인데 색 맞춰서 입음 예쁠 것 같아요!
그레이인데 노란색 섞인? 오묘한 그레이예요, 근데 그래서 더 예뻐요💕"
"색상: (15)GRAY / 사이즈: M(090)
체형166cm60kg상의 M어깨 넓음보통 팔길이사이즈잘 맞아요핏적당해요두께보통 두께예요",5,"다들 브라운으로 하셧더라구여,,, 근데 그레이가 좀 뮤트한 밝은브라운겉아서 요거로햇는데 대성공ㅋㅋ L랑 고민하다가 넘 오버핏이면 웃길것같아서 M했는데 예뻐요! 대신 니트랑 같이 입으니 조금 껴입었다라는 느낌이 들긴해요! 근데 불편하지않고 딱좋아요ㅎㅎ 무료교환반품이라 맘놓고시켰는데 싸고이뻐서 품습니당"
"색상: (15)GRAY / 사이즈: S(085)
사이즈약간 커요 (총 기장, 어깨, 소매길이)핏오버핏이에요두께보통 두께예요",5,옷 품질이 좋네요. 브라운 색상이 너무 어두워 보여서 그레이로 했는데 색상이 너무 고급져요. 요즘 옷들이 다 크롭인데 살짝 길고 박시해서 또 다른 느낌이 있어요. 가성비 최고입니다.
"색상: (85)BROWN / 사이즈: S(085)
체형163cm46kg상의 S어깨 좁음팔이 짧은 편 핏적당해요두께두꺼워요사이즈많이 커요 (소매길이)",5,재질이 엄청 좋은건 아닌데 가성비 최고의 제품이에요~ 색도 이쁘고 핏도 좋아요!! 적당한 오버핏이라 너무 아빠자켓같지 않아 넘나 좋네요 요새 다 너무 오버핏이라 컸는데 스파오 최고입니당
"색상: (85)BROWN / 사이즈: M(090)
사이즈잘 맞아요핏적당해요두께보통 두께예요",5,"169에 50kg m 사이즈 딱맞아요!
기장은 엉덩이 덮고 손등도 살짝 덮는 정도입니다
매장에서 입어봤을때 L사이즈는 기장이 길고 어깨패드가 있어서 아빠 옷 뺏어입은 느낌 났어요
브라운이 차분힌 브라운이라 웜톤 쿨톤 상관없이 잘 어울릴 색상이고 살짝 얇아서 초봄 쯤 입기 적당한거같아요

예전부터 구매할까말까하다가 추워져서 시기를 놓쳤던 제품이었는데 세일하길래 올 봄에 입으려고 냉큼 질럿어요!
더보기"
"색상: (15)GRAY / 사이즈: M(090)
사이즈잘 맞아요핏오버핏이에요두께두꺼워요",5,"두꺼운 자켓이고 재질이나 안에 안감이 괜찮아요! 초 겨울에도 입을 수 있을 것 같은 두께네요ㅎㅎ 
요새 날씨 오락가락 하는데 추울 때 여기에 목도리 하고 다니면 잘 입을 것 같아요 
오버핏이라 안에 두껍게 입고 입으면 꽤 따뜻할것같아요"
"색상: (85)BROWN / 사이즈: S(085)
사이즈잘 맞아요핏적당해요두께보통 두께예요",5,"매장에서 보고 너무 단정한 스타일이여서 고민만 하다 집에 왔는데 집에서도 계속 생각나서 구매했어요 실제 색상은 사진 정도이고, 도톰한 소재에다가 어두운 색이라 그렇게까지 오버핏 같지 않아요(키155기준) 낙낙한 오버핏으로 입고 싶었는데 M사이즈로 살 걸 조금 후회되네요~ 그래도 저렴하게 구매해서 만족합니다!"
"색상: (15)GRAY / 사이즈: S(085)
사이즈잘 맞아요핏적당해요두께보통 두께예요",5,브라운이랑 고민했는데 활용하기에 더 좋을 것 같아서 그레이 구매했어요. 결과적으로 대만족입니당 체구가 작은 편인데 잘 맞는 자켓 찾기 어려웠는데 딱 예쁘게 잘 맞아요! 어깨 좁으셔서 자켓 고르기 어려우셨던 분들께 추천해요 겨울에 아우터로 입기엔 조금 부족할 것 같고 안에 내복 입으시고 목도리 두르면 좀 괜찮을 정도 수준입니당.
"색상: (85)BROWN / 사이즈: L(095)
체형165cm65kg상의 M어깨 좁음사이즈약간 커요 (어깨, 소매길이)핏적당해요두께보통 두께예요",4,"90사이즈도 약간 큼직해요
회색인데 베이지색이 좀더 섞여 있어요
한겨울에는 추울거 같고
간절기에 입기 좋네요
포멀 캐주얼 모두 잘 어울려요
95인데 90하고 많이 차이는 안나요
더보기"
"색상: (85)BROWN / 사이즈: S(085)
사이즈잘 맞아요핏오버핏이에요두께보통 두께예요",5,"완전 득템했어요 
부드럽고 두껍진않지만 안에 껴입고 따뜻하게 입을 수 있어요
이제 3월이 끝나가서 얼마 못입겠지만 넘 만족해요"
"색상: (15)GRAY / 사이즈: S(085)
체형164cm57kg상의 M보통 어깨팔이 긴 편사이즈잘 맞아요핏적당해요두께보통 두께예요",5,"진짜 예뻐요~
스파오는 XS사이즈가 있어서 그런지 평소 55-55반, M사이즈 입는 저도 S사이즈가 딱 예쁘게 맞아요.
팔 길이, 어깨, 품 어느하나 빠짐없이 예쁩니다.
얼른 날이 풀려서 입고 싶어요.
간절기용 자켓으로 추천합니다!
브라운이랑 고민하다 그레이 색상 했는데 약간 노란 계열의 실도 섞여서 묘하게 베이지 그레이 느낌이라 따뜻한 느낌입니다.
더보기"
"색상: (15)GRAY / 사이즈: S(085)
체형158cm45kg상의 S어깨 넓음보통 팔길이사이즈잘 맞아요핏적당해요두께보통 두께예요",5,색상이 후기를 암만 봐도 감이 안잡혀서 두개 그냥 다 주문했는데 그레이로 품기로 했습니다. 색상이 무난한듯 하면서 예쁩니다. 마른편인데 어깨랑 품도 잘맞아요.
"색상: (15)GRAY / 사이즈: M(090)
체형165cm65kg상의 M어깨 좁음사이즈약간 커요 (어깨, 소매길이)핏오버핏이에요두께보통 두께예요",4,"90사이즈도 약간 큼직해요
회색인데 베이지색이 좀더 섞여 있어요
한겨울에는 추울거 같고
간절기에 입기 좋네요
포멀 캐주얼 모두 잘 어울려요"
"색상: (15)GRAY / 사이즈: M(090)
사이즈약간 커요 (기타)핏오버핏이에요두께보통 두께예요",5,"평소55반(55는 살짝 타이트 66은 살짝 큼)인데
오버핏이라 그런가 m사이즈가 살짝 넉넉하네요

가격대비 대만족합니다
그레이 색상인데 브라운빛이 더 돌아서
후기 색상 잘 보고 사세요~
더보기"
"색상: (15)GRAY / 사이즈: M(090)
사이즈잘 맞아요핏적당해요두께보통 두께예요",5,원단이 톡톡하니 좋네요 겨울에 잘 입을것같아요 저렴하게 잘샀습니다. 스파오 옷 괜찮네요
"색상: (15)GRAY / 사이즈: L(095)
사이즈약간 커요 (소매길이)핏오버핏이에요두께보통 두께예요",5,오버핏인거 알고 샀는데 예상보다 약간 더 크긴 해요ㅋㅋㅋ다행히 어깨깡패라 나쁘진 않아요 약간 반코트처럼 입습니다 실물 이쁘고 저렴하게 사서 기쁩니다
"색상: (85)BROWN / 사이즈: S(085)
사이즈잘 맞아요핏오버핏이에요두께두꺼워요",5,품절이라 s 샀는데 오버핏이라서 m 샀으면 너무 클뻔했네요. 보풀이 잘 생기는 재질인지 모르겠지만 부들부들하고 도톰합니다. 싸게 잘 사서 만족해요.
"색상: (85)BROWN / 사이즈: S(085)
체형161cm59kg상의 M보통 어깨보통 팔길이사이즈잘 맞아요핏적당해요두께보통 두께예요",5,"M을 입어야 하나 오버핏이라길래 s를 샀습니다. 약간 여유있게 맞더라구요. 디자인, 색상, 두께감 모두 맘에 들어요~~ 다른 디자인으로 베이지도 샀는데요. 둘다 색 예뻐요!! 완전 강추!!"
"색상: (85)BROWN / 사이즈: S(085)
사이즈잘 맞아요핏오버핏이에요두께두꺼워요",5,가격대비 질이 좋아요! 오버핏이라 스몰도 여유롭게 잘 맞아요~ 어깨 때문에 미디움(66) 입는 편인데 딱 맞습니다 :)
"색상: (15)GRAY / 사이즈: S(085)
사이즈약간 커요 (어깨)핏오버핏이에요두께두꺼워요",4,브라운 자켓은 너무 흔할것같아서 그레이 골랐는데 잘산거같아요 완전 그레이 아니고 베이지브라운이 섞인 색이에요 재질도 부드럽고 싸게 잘샀어요
"색상: (15)GRAY / 사이즈: M(090)
체형164cm상의 M어깨 좁음팔이 긴 편사이즈잘 맞아요핏오버핏이에요두께두꺼워요",5,s사고싶었는데 없어서 그냥 m으로했는데 세미라 그렇게 큰 오버핏아니라 찰떡이네요 ㅋㅋ 저는 팔이 길어서 s사이즈는 짧았을꺼같아요
"색상: (85)BROWN / 사이즈: S(085)
사이즈잘 맞아요핏오버핏이에요두께보통 두께예요",4,"이 가격에 만족입니다.
컬러도 마음에 들고 요즘 잘 입고 다녀요.
간절기 딱이에요"
"색상: (85)BROWN / 사이즈: S(085)
사이즈잘 맞아요핏적당해요두께두꺼워요",5,"저렴하게 득템했어요 군더더기 없고 깔끔해요
팔 길이가 좀 길게 나온 것 같아서 S했는데 딱 좋습니다"
"색상: (85)BROWN / 사이즈: M(090)
사이즈약간 커요 (총 기장, 가슴)핏적당해요두께보통 두께예요",5,딱 이른 겨울에 입기 좋은 자켓이에요. 색상이 많이 톤다운되어서 차분하게 입기 좋아요. 보풀이 많이 생길지는 두고봐야겠지만 원단이 꽤 부드럽네요.
"색상: (15)GRAY / 사이즈: L(095)
사이즈잘 맞아요핏적당해요두께보통 두께예요",5,"167-67 50대 입니다
그레이 색상도 예쁘네요
봄 가을에 입기 좋아요  
매장에서 10만원주고 구매해서 잘 입었는데
세일해서 그레이색상으로 구매해서 더 좋네요
잘맞고 편하고 고급져요
적극추천 합니다
더보기"
"색상: (15)GRAY / 사이즈: M(090)
사이즈잘 맞아요핏오버핏이에요두께두꺼워요",4,"키 160 몸무게 63 바지30 상의66입어요.
M시켰는데, 적당히 루즈핏처럼 입을 수 있어요.
후기들 보고 그레이 시켰는데 만족해요."
"색상: (15)GRAY / 사이즈: L(095)
체형165cm상의 L어깨 넓음팔이 긴 편사이즈약간 커요 (기타)핏오버핏이에요두께보통 두께예요",5,생각했던 핏입니다. 어깨가 있는 편이라 오버핏 자켓을 좋아하는데 딱이예요. 완전 그레이컬러는 아니지만 헤링본 무늬이고 오히려 예쁜 색이예요. 원래 가격도 저렴한 편이라고 생각하는데 완전 득템했습니다.
"색상: (85)BROWN / 사이즈: S(085)
사이즈잘 맞아요핏적당해요두께보통 두께예요",3,무난해요 옷에서 향수냄새나요 소매부분접힌채로왔어요 자국남아있어요 제품확인하고 좀 보내세요
"색상: (15)GRAY / 사이즈: M(090)
사이즈잘 맞아요핏적당해요두께보통 두께예요",5,쎄일할때저렴하게잘구매했어요 컬러도마음에들고예뻐요
"색상: (15)GRAY / 사이즈: L(095)
사이즈잘 맞아요핏적당해요두께보통 두께예요",5,요즘 날씨에 입기 딱이예요 브라운 없어서 그레이 했는데 너무 밝은 그레이가 아니라 예쁘네요
"색상: (85)BROWN / 사이즈: S(085)
핏오버핏이에요사이즈잘 맞아요두께보통 두께예요",5,색감 핏 다 마음에 들어요. 할인할때 사서 더 만족합니다
"색상: (85)BROWN / 사이즈: S(085)
사이즈잘 맞아요핏적당해요두께보통 두께예요",4,색깔이 어두워서 가을에 입으면 잘어울릴거 같아요. 클래식함!
"색상: (85)BROWN / 사이즈: L(095)
사이즈약간 커요핏적당해요두께두꺼워요",5,95사이즈 시켯다가 오버사이즈핏이라 엄청커서 교환햇습니다. 교환 까지 9일정도 걸리네요~ 옷은 넘 마음에 듭니다.
"색상: (85)BROWN / 사이즈: S(085)
사이즈잘 맞아요핏적당해요두께보통 두께예요",5,소매 접어서 조금 더 캐쥬얼하게 입었어요. 편하고 예쁩니다!
"색상: (85)BROWN / 사이즈: S(085)
사이즈잘 맞아요핏적당해요두께보통 두께예요",5,생각보다 질이 좋고 천이 두껍습니다 환절기...보다는 늦가을이나 초봄쯤이 적합할듯하고 살짝 오버핏이라 맘에 쏙들어요
"색상: (85)BROWN / 사이즈: S(085)
사이즈잘 맞아요핏적당해요두께보통 두께예요",5,단정해보여요~오버핏으로 입으려면 한사이즈 업해도 될듯해요~
"색상: (15)GRAY / 사이즈: S(085)
사이즈잘 맞아요핏적당해요두께두꺼워요",5,도톰하니 핏도 괜찮습니다. 부드러워 좋긴한데 금방 보풀이 일어날꺼같긴해요ㅡ.
"색상: (85)BROWN / 사이즈: S(085)
체형160cm56kg상의 S보통 어깨보통 팔길이사이즈잘 맞아요핏적당해요두께보통 두께예요",5,"가성비 좋고
옷이 너무이뻐
딸.동생.저 하나씩 삿어요
저는 50대 아줌마^^
저는 큰사이즈사서 코트 처럼입어요"
"색상: (85)BROWN / 사이즈: M(090)
체형168cm53kg상의 S어깨 넓음사이즈약간 커요 (소매길이)핏적당해요두께보통 두께예요",5,이가격에 정말좋아요 좀 크게입으려고 일부러 엠사쥬 삿더니 소매가 쪼매길어요. 접어입으니 또 다른스타일이네요 바지며 치마며 다어울립니다
"색상: (15)GRAY / 사이즈: M(090)
사이즈잘 맞아요핏적당해요두께보통 두께예요",4,"넉넉한 오버핏이 아나그 적당한 핏이에요~
색감도 좋고 지금 입기좋은거같아용"
"색상: (15)GRAY / 사이즈: M(090)
체형160cm60kg상의 M보통 어깨보통 팔길이사이즈잘 맞아요핏적당해요두께보통 두께예요",5,"L할까 M할까 고민하다 M했는데
싸이즈 잘맞네요~~
가성비 최곱니다!!"
"색상: (15)GRAY / 사이즈: S(085)
사이즈잘 맞아요핏적당해요두께보통 두께예요",5,"너무 예쁜데요~?? 맘에 듭니다~!!
그레이 브라운 둘다 삿어요
잘입을것 같아요"
"색상: (85)BROWN / 사이즈: S(085)
체형158cm52kg상의 S팔이 긴 편사이즈잘 맞아요핏적당해요두께보통 두께예요",5,지금 이시기(이른 봄)에 딱 어울리는 소재와 두께감입니다~컬러도 넘 이쁘고~~제가 찾고있던 옷입니다~~가격도 짱입니다~~저와 체격이 비슷한분들은 스몰사이즈가 잘 어울리실꺼예요~~강추합니다~!!!!!
"색상: (15)GRAY / 사이즈: S(085)
체형161cm56kg상의 S어깨 좁음보통 팔길이사이즈잘 맞아요핏오버핏이에요두께보통 두께예요",5,오버핏이라고 써있어서 평소 55인데 너무 오버핏은 안어울려 살짝 세미 예상하거 제일작은 스몰샀는디 생각한데로 맞아서 좋았어오
"색상: (85)BROWN / 사이즈: L(095)
사이즈약간 커요 (어깨, 소매길이)핏오버핏이에요두께두꺼워요",5,매장에서 보고 가끔생각났었는데 이렇게 저렴하게 구입하게 되었네요 스커트 바지 휘뚜리마뚜리 잘 어울려요 근데 소매길이가 기네요
"색상: (85)BROWN / 사이즈: M(090)
사이즈잘 맞아요핏적당해요두께보통 두께예요",5,55반사이즈 약간 오버핏이고 까실거리지 않아요~ 엉덩이 가려주고 괜찮아요
"색상: (85)BROWN / 사이즈: S(085)
체형162cm50kg상의 S어깨 좁음팔이 긴 편핏적당해요두께두꺼워요사이즈많이 커요 (소매길이)",5,섬유재질이 좋고 박음질이 좋습니다.
"색상: (15)GRAY / 사이즈: M(090)
사이즈약간 커요핏오버핏이에요두께두꺼워요",5,너무마음에 들어요! 스파오자켓 여러개 있는데 항상 마음에 듭니다!s가 잘맞을듯하나 오버핏을 좋아해서 항상 크게주문하는데 크긴하지만 예쁜핏이라 좋아요!
"색상: (85)BROWN / 사이즈: L(095)
사이즈잘 맞아요핏오버핏이에요두께두꺼워요",5,옛날부터 사고 싶었는데 세일해서 바로 샀어요 마음에 들어요
"색상: (85)BROWN / 사이즈: L(095)
사이즈잘 맞아요 (어깨)핏오버핏이에요두께두꺼워요",5,"사이즈없어서
하나큰거샀어요
그래도
예쁘게잘맞아요"
"색상: (15)GRAY / 사이즈: S(085)
사이즈잘 맞아요핏오버핏이에요두께두꺼워요",5,"생각보다 두께가 있어서 놀랬구요
가볍게 입을 자켓 좋은가격에 잘
산것 같아요.
두개 한번에 구매했습니다.
스파오가 자켓은 잘 만드는것 같아요"
"색상: (85)BROWN / 사이즈: S(085)
사이즈잘 맞아요핏오버핏이에요두께두꺼워요",5,"생각보다 두께가 있어서 놀랬구요
가볍게 입을 자켓 좋은가격에 잘
산것 같아요.
두개 한번에 구매했습니다.
스파오가 자켓은 잘 만드는것 같아요"
"색상: (15)GRAY / 사이즈: M(090)
사이즈잘 맞아요핏오버핏이에요두께보통 두께예요",4,"오버핏이라 m사이즈 딱 예쁘게 맞아요!
세일해서 저렴한 가격에 구매햇네요~~날씨 조금 풀리면 봄,가을에 잘 입을거 같아요. 주머니는 막혀 있어요 터서 입어야 되나봐요(?"
"색상: (85)BROWN / 사이즈: S(085)
사이즈잘 맞아요핏적당해요두께보통 두께예요",5,"어깨가 넓어서 평소에 자켓살때 고민이 많은데 세미오버핏이라 s사도 잘맞아요
색은 사진보다 좀더 진한갈색이에요"
"색상: (15)GRAY / 사이즈: S(085)
사이즈약간 커요 (어깨, 소매길이)핏오버핏이에요두께보통 두께예요",5,제법 두껍고 원단도 너무 좋긴 한데 저한테는 좀 마노이 큰 것 같네요
"색상: (15)GRAY / 사이즈: S(085)
사이즈잘 맞아요핏오버핏이에요두께보통 두께예요",5,옷이 가볍고 편해요. 약간의 오버핏이라 보기에 좋고 입어도 좋아요^^
"색상: (15)GRAY / 사이즈: L(095)
사이즈잘 맞아요핏적당해요두께보통 두께예요",5,"조금 두꺼워서 빨리 자주 입어야하지만
색감 기장 딱 좋아요"
"색상: (15)GRAY / 사이즈: M(090)
사이즈잘 맞아요핏적당해요두께보통 두께예요",5,사이즈도 잘맞고 편하게 입기 좋네요
"색상: (85)BROWN / 사이즈: M(090)
사이즈잘 맞아요핏적당해요두께보통 두께예요",5,"빠른배송 감사해요
색상이 생각보다 진해요
두께도 적당하고 세미오버핏답게 잘 맞아서 편하게 입을수 있겠어요"
"색상: (85)BROWN / 사이즈: S(085)
사이즈잘 맞아요핏적당해요두께보통 두께예요",5,예뻐요!! 싸게 잘샀네요 ㅎㅎ 만족합니다
"색상: (15)GRAY / 사이즈: L(095)
사이즈약간 커요 (총 기장, 기타, 가슴, 어깨, 팔 둘레, 소매길이)핏오버핏이에요두께두꺼워요",5,"세일해서 잘 샀네요 
오버핏이라서 사이즈는 넉넉해요 
두께도 톡톡해서 잘 입을 것 같아요"
"색상: (15)GRAY / 사이즈: S(085)
핏오버핏이에요두께두꺼워요사이즈많이 커요",5,이뻐요싸개잘삼 !굿
"색상: (15)GRAY / 사이즈: M(090)
체형169cm59kg상의 M어깨 좁음팔이 긴 편사이즈잘 맞아요핏오버핏이에요두께보통 두께예요",5,"살짝 오버핏
괜찮아요"
"색상: (85)BROWN / 사이즈: S(085)
사이즈잘 맞아요핏적당해요두께보통 두께예요",5,너무 예뻐요 그레이 브라운 둘다 좋아요
"색상: (15)GRAY / 사이즈: S(085)
사이즈잘 맞아요핏적당해요두께보통 두께예요",5,세미 오버핏이라 좋고 날씨 좀 풀리면 자주 입을것 같아요ㅎㅎ
