summary,grade,review
"타입: 슬림형 / 사이즈_색상: 슈퍼싱글 / 색상: 아이보리
디자인마음에 들어요사이즈정사이즈예요견고함견고해요",5,생각보다 배송은 좀 느렷지만  견고하고 이뻐서  딸래미가 참 좋아라햇어요~
"타입: LED USB 수납형 / 사이즈_색상: 슈퍼싱글 / 색상: 아이보리
디자인마음에 들어요사이즈정사이즈예요견고함보통이에요",5,"이뻐요
애도 맘에 들어하네요"
"타입: LED USB 수납형 / 사이즈_색상: 퀸/킹혼용 / 색상: 아이보리
디자인화면과 같아요사이즈정사이즈예요견고함견고해요",5,"지방기준
11월 7일 주문 
11월 25일 도착 했어용 
배송비 55,000원
뚝딱 몇번하더니 조립되써용
금액대비 고급지고 튼튼해보여서 만족해요
더보기"
"타입: LED USB 수납형 / 사이즈_색상: 퀸/킹혼용 / 색상: 그레이
견고함약해요디자인화면과 같아요사이즈정사이즈예요",5,"주문제작상품이라 오래 기다려 받았습니다.
내구성은 가격만큼이예요. 견고한느낌은 없고 침대 수납 상판에서도 소리가 납니다.. 기사님은 친절하셨고요 상품 군데군데 찍힘 있지만 가격이 저렴하니 그러려니 합니다. 서랍도 조립후에 정렬이 안됩니다. 제일 불만족한 부분은 침대 설치  후 청소하는데 나무가루가 진짜 너무 심할정도로 나와요.. 이미 설치는 벽에 붙여 끝난상황에 보이는곳밖에 닦을수가없습니다 !! 설치받으시는 분들 미리 양해구하시고 조립전에 닦으세요 공장에서 절단후 갓 나온 상태 그대로입니다. 싼가격에 짧은기간 사용예정이니 어쩌겠어라고 생각하고 씁니다..
더보기"
"타입: LED 선반형 / 사이즈_색상: 퀸/킹혼용 / 색상: 브라운
주거형태30평대신혼/부부디자인마음에 들어요사이즈정사이즈예요견고함견고해요",5,"한달사용기한달이상 사용하였는데
가장 걱정했던 삐걱거림이 없어서 너무 마음에 들어요 ㅎㅎ

감사합니다 많이파세요 ㅎㅎ"
"타입: LED USB 수납형 / 사이즈_색상: 퀸/킹혼용 / 색상: 아이보리
디자인마음에 들어요사이즈정사이즈예요견고함견고해요",5,"한달사용기와진짜 깔끔 그 자체에요 디자인도 너무 이쁘고 깔끔해서 정말 맘에들어요! 이사하면서 구매했는데 아니 위에공간도 그렇고 옆공간도 그렇고 너무 유용하게 잘 사용하고있어요! 

배송은 이사일정때문에 맞춰달라고했었는데 지정일이 안된다고하셔서 걱정했더니 이사하고 1주일도 안되서 왔던거같네요 여유있게기다려서그런지 생각보다 빨리 온 기분이였습니다ㅋㅋ

서랍이 없으면 허전하잖아요 어디든 쑤셔넣기위해 서랍형으로했는데 하길잘했네요 뭐든 수납할 수 있어서좋고 위에도 옆에도 수납공간이.. 진짜 Led등도 유용하게 잘 쓰고있습니다 아그리고 보통 침대밑에 안뚫려있으면 먼지엄청나게 쌓이는데 이거는 서랍빼서 청소기 슥슥 하면되요 그래서 뭔가 더 깔끔하게 쓰는기분입니다 서랍형강추해요 

윗쪽에 터치등도 3단이라 끌때 가끔 눈뽕이 오긴하지만 그래도 너무 편해요 터치가 너무 잘 먹어서 툭툭 손뻗고 치면됩니다 ~ 위에 사진도 둘 수 있고 애들도 비슷한침대인데 인형도 올려놓을수있게 정말 잘 디자인하셨네요 깔끔하고 이뻐서 주위에도 많이 추천하려규요 아그리고 설치하시는 기사님도 힘든내색없이 잘 설치해주시고 가셨어요 만족합니다
더보기"
"타입: LED 선반형 / 사이즈_색상: 퀸/킹혼용 / 색상: 브라운
주거형태30평대신혼/부부디자인화면과 같아요사이즈생각보다 커요견고함견고해요",5,"매우견고해보이고 설치기사님도 고샹많이해주셔서 감사합니다
다음에도 재구매하고싶네요 ㅎㅎ"
"타입: LED 선반형 / 사이즈_색상: 퀸/킹혼용 / 색상: 아이보리
디자인화면과 같아요사이즈정사이즈예요견고함견고해요",5,"통으로된 프레임이 맘에 들고 튼튼합니다 
배송은 지방이라 2주정도 걸렸습니다"
"타입: LED USB 수납형 / 사이즈_색상: 퀸/킹혼용 / 색상: 아이보리
디자인화면과 같아요사이즈정사이즈예요견고함보통이에요",4,가격대비 퀼리티가 좋은편입니다.
"타입: 슬림형 / 사이즈_색상: 퀸/킹혼용 / 색상: 그레이
디자인화면과 같아요사이즈정사이즈예요견고함견고해요",5,튼튼하고 편안하고 아주 좋습니다
