summary,grade,review
"본품색상선택: 9566cc_크롬 [9F66] / 선착순 사은품: [SL03]브라운 룸슈즈 / 특별추가사은품: [SL05] 브라운 타올세트
피부타입지성블랙헤드탄력",5,"현재사용하고 있는 7시리즈에 만족해 선물로 구매했는데 구성품은 마음에 드네요.
클리닝 시스템도 괜챦구요.
클리닝액이 1개만 들어 있던데 하나 더 있었으면 좋았을거 같네요.
그래도 사은품이 들어있어 대리 만족하네요"
"본품색상선택: 9565cc_그라파이트 [9F65] / 사은품: 브라운 하드케이스[SP70]
피부타입복합성잡티각질트러블",5,한달사용기배송 포장에 대한 아쉬움 리뷰를 보고 걱정되긴 했는데 다행이 잘 도착해서 좋았습니다. 제가 샤프심 이방 수염 스타일이라 기존 9시리즈 사옹시에도 딱히 만족스럽지 않았는데 이번 프로는 대부분 깔끔하게 면도되는게 눈에 보여서 만족스럽습니다.
본품색상선택: 9565cc_그라파이트 [9F65] / 선착순 사은품: [SL03]브라운 룸슈즈 / 특별추가사은품: [SL05] 브라운 타올세트,5,남자친구에게 선물로 줬는데 너무 기뻐했어요! 남자친구선물로 진짜강추👍🏻!! 예전부터 전기면도기 갖고싶다고 계속 말했었는데 이제서야 사주네요.. 너무 만족하면서 평생 쓴다고까지하네요ㅋㅋ 너무 뿌듯합니다ㅎㅎ
"본품색상선택: 9565cc_그라파이트 [9F65] / 선착순 사은품: [SL03]브라운 룸슈즈 / 특별추가사은품: [SL05] 브라운 타올세트
피부타입복합성민감성",5,"남자친구 사줬는데 진짜 너무 좋아해요 ㅠㅠ💓 필립스꺼랑 고민하다가 브라운꺼로 사줬는데 자기는 필립스는 절삭력 안좋아서 브라운꺼 이미 사려고 했었다구 해서 뿌듯햇어요!

예전에 브라운 시리즈 3 썼다고 했는데 9써보니까 너무 좋다고..... 신세계라고... 아침 면도시간이 줄어드니 거의 준비시간 1/5 줄었다던데용 ㅎㅎ 습식으로 안하니까 너무 간편하다고 .. 그리고 날면도기할때 너무 턱에 상처가 계속 났는데 브라운쓰고 상처도 안난다고 너무 좋아하네요 선물용으로 왕추천
더보기"
"본품색상선택: 9566cc_크롬 [9F66] / 선착순 사은품: [SL03]브라운 룸슈즈 / 특별추가사은품: [SL05] 브라운 타올세트
피부타입복합성트러블피지민감성",5,"일단 배송도 빠르고,
디자인이 대박 이쁘고요~~
성능은 대략 1달 정도 써봐야 판단하겠지만, 현재는 만족입니다.
단! 가격이 비싸다는게 ㅠㅠ"
본품색상선택: 9565cc_그라파이트 [9F65] / 선착순 사은품: [SL03]브라운 룸슈즈,5,"남편 생일선물로 준비했습니다.
타사제품만 사용하다가 브라운은 처음 쓴다고 해서 잘 맞을까 걱정했는데 사용하고 나서 너무너무 만족했습니다.😍
다만 기존에 사용한 면도기보다 소음이 조금 크지만 딱히 신경 거슬릴만한 소음은 아니였습니다~
사은품 슬리퍼도 푹신하니 좋네요~"
본품색상선택: 9565cc_그라파이트 [9F65] / 선착순 사은품: [SL03]브라운 룸슈즈 / 특별추가사은품: [SL05] 브라운 타올세트,5,최신 제품이라고 해서 선물로 구매했습니다. 면도기에 대해 전혀 모르는데 일단 외관이 멋있었어요. 배송 빠르게 잘 도착했고 사은품도 잘 받았어요. 수건이랑 슬리퍼는 좀 의외의 품목이긴 했어요. 충전기 안에서 충전하면서 세척도 가능해서 좋은 것 같아요. 날이 새거라서 굉장히 잘 드는 거 같아요. 처음 쓰실 땐 조심하세요. 예민하게 잘 깎이는 거 같고 깎고 나서 만저보니까 맨질맨질합니다. 추천합니다.
"본품색상선택: 9566cc_크롬 [9F66] / 선착순 사은품: [SL03]브라운 룸슈즈 / 특별추가사은품: [SL05] 브라운 타올세트
피부타입복합성각질모공",5,"남자친구 선물로 구매하게 되었어요.
면도기는 브라운이라고 생각해서 구매했는데 남자친구가 너무 좋아하네요. 
사은품도 수건이 좀 더 크고 두개나 들어있어서 놀러갈때 가져가도 좋을 것 같고, 슬리퍼도 너무 부드럽습니다.
오자마자 사진 찍고 세척액 넣어서 충전시킨 뒤에 사용해보았는데 잘 제거되고 피구에도 부드럽고 모발 잔털도 제가가능해서 여러모로 잘 산 것 같습니다 
카드할인도 되고 너무 좋아요 😄
더보기"
"본품색상선택: 9565cc_그라파이트 [9F65] / 선착순 사은품: [SL03]브라운 룸슈즈 / 특별추가사은품: [SL05] 브라운 타올세트
피부타입복합성민감성",5,"BEST지난 10여년간 필*스 사용했는데 왜 진작 브라운을 안썼을까 사자마자 느꼈네요…
일자형이 피부 민감성이 크다고 해서 원형헤드인 필*스를 써왔던건데 사실 면도가 깔끔히 안돼서인지 그동안에 더 세게 더 오래 하다보니 트러블이 훨씬 많았던거 같아요
반면에 브라운 사용하자마자 면도가 훨씬 짧아졌고 그로 인해서 민감성도 훨 줄어든 것 같아요. 면도 후에도 얼마나 부드러운지 마치 수염나기 전 피부를 만지는 기분이네요.
또 세척 스테이션에 꽂는것만으로도 충전도 되고 여러가지로 너무나 만족스럽습니다.
필*스에서 갈아타게 된 계기는 해당 회사 제일 고가인 제품을 구입해서 2년 가량 썼는데 led도 안들어오고 충전도 불량해서 무상 as를 받았는데 이후 얼마 안돼서 방전이 되어버렸네요. 최고가인 제품인데도 오히려 더 저렴한 제품들은 아직도 배터리가 멀쩡한데 방전이라뇨.. 브라운은 5년이나 무상 as인 점도 선택에 큰 영향을 끼쳤습니다.
그리고 후기 보다보니 소리나 진동이 너무 크다는 후기 봤는데 아마 전기면도기 처음 사용하시는 분들이 쓰신거 아닐까 싶어요. 필*스 오래 사용하던 저는 크거나 심하다는 느낌 전혀 못받았고 오히려 정숙하다는 느낌도 받았습니다. 모쪼록 잘 관리하고 사용하겠습니다! 좋은 제품 감사합니다!!
더보기"
본품색상선택: 9565cc_그라파이트 [9F65] / 선착순 사은품: [SL03]브라운 룸슈즈 / 특별추가사은품: [SL05] 브라운 타올세트,5,빠른배송 감사합니다! 필립스만 10년 가까이 사용하다가 처음으로 브라운 써보는데요 처음에 받고 나서 소음이 생각보다 커서 놀랐습니다... 하지만 절삭력에서는 필립스보단 브라운이 훨씬 좋네요!! 홈페이지에 정보 등록하면 무상AS 기간도 5년이라 만족합니다 잔고장 없이 오래오래 사용했으면 좋겠습니다!
